ANT1,46.24,29.21,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,30.61,29.38,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,36.03,11.40,270.00,10uF,NORDIC_NRF_3_RESC0402_M
C10,32.76,25.67,0.00,N.C,NORDIC_NRF_3_RESC0201_L
C11,31.94,21.86,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,31.61,19.89,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,31.28,27.57,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,24.13,27.55,0.00,4.7uF,NORDIC_NRF_3_RESC0402_M
C15,31.38,25.84,270.00,1.0uF,NORDIC_NRF_3_RESC0402_M
C16,32.45,24.09,270.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,22.87,24.11,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,22.90,23.35,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,6.66,13.54,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,27.73,28.72,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,48.64,14.38,90.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_M
C20,22.92,19.25,270.00,4.7uF,NORDIC_NRF_3_RESC0402_M
C21,26.24,18.81,0.00,4.7uF,NORDIC_NRF_3_RESC0402_M
C22,43.29,30.43,90.00,N.C,NORDIC_NRF_3_RESC0201_L
C23,11.69,6.72,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,7.15,6.02,90.00,10uF,NORDIC_NRF_3_RESC0402_M
C25,12.74,9.82,270.00,22uF,NORDIC_NRF_3_RESC0402_M
C27,41.47,20.97,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C29,38.64,8.26,270.00,1uF,GRM011R60J152KE01L_1_0201
C3,42.25,25.77,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,16.64,8.26,270.00,1uF,GRM011R60J152KE01L_1_0201
